i_simul,year,strategy,resources,n_ind,n_predator,n_dead,gamma,total_seeds
2,42,switching,2.894273444080767,93.0,19.35632603818008,5.0,0.6956787509676274,278.23655690585844
2,42,reversed,2.894273444080767,90.0,19.35632603818008,5.0,0.6956787509676274,278.23655690585844
2,42,storage,2.894273444080767,94.0,19.35632603818008,5.0,0.6956787509676274,278.23655690585844
2,43,matching,0.2664985540009668,110.0,17.41157508587062,5.0,0.8854674678988681,196.63709528692982
2,43,alternate,0.2664985540009668,114.0,17.41157508587062,5.0,0.8854674678988681,196.63709528692982
2,43,switching,0.2664985540009668,92.0,17.41157508587062,5.0,0.8854674678988681,196.63709528692982
2,43,reversed,0.2664985540009668,92.0,17.41157508587062,5.0,0.8854674678988681,196.63709528692982
2,43,storage,0.2664985540009668,92.0,17.41157508587062,5.0,0.8854674678988681,196.63709528692982
2,44,matching,2.694397969010112,109.0,15.291879749252518,5.0,0.8706676208983201,175.63395470564262
2,44,alternate,2.694397969010112,114.0,15.291879749252518,5.0,0.8706676208983201,175.63395470564262
2,44,switching,2.694397969010112,92.0,15.291879749252518,5.0,0.8706676208983201,175.63395470564262
2,44,reversed,2.694397969010112,91.0,15.291879749252518,5.0,0.8706676208983201,175.63395470564262
2,44,storage,2.694397969010112,94.0,15.291879749252518,5.0,0.8706676208983201,175.63395470564262
2,45,matching,1.82944320624742,111.0,4.664711283741756,5.0,0.9213961687148821,50.62655394202328
2,45,alternate,1.82944320624742,115.0,4.664711283741756,5.0,0.9213961687148821,50.62655394202328
2,45,switching,1.82944320624742,92.0,4.664711283741756,5.0,0.9213961687148821,50.62655394202328
2,45,reversed,1.82944320624742,89.0,4.664711283741756,5.0,0.9213961687148821,50.62655394202328
2,45,storage,1.82944320624742,93.0,4.664711283741756,5.0,0.9213961687148821,50.62655394202328
2,46,matching,4.209162111134429,112.0,18.494095037059747,5.0,0.13075901908660392,1414.3647731718447
2,46,alternate,4.209162111134429,115.0,18.494095037059747,5.0,0.13075901908660392,1414.3647731718447
2,46,switching,4.209162111134429,91.0,18.494095037059747,5.0,0.13075901908660392,1414.3647731718447
2,46,reversed,4.209162111134429,90.0,18.494095037059747,5.0,0.13075901908660392,1414.3647731718447
2,46,storage,4.209162111134429,92.0,18.494095037059747,5.0,0.13075901908660392,1414.3647731718447
2,47,matching,2.936160200152025,112.0,67.59487936017405,5.0,0.33450832285577414,2020.7233943568604
2,47,alternate,2.936160200152025,117.0,67.59487936017405,5.0,0.33450832285577414,2020.7233943568604
2,47,switching,2.936160200152025,91.0,67.59487936017405,5.0,0.33450832285577414,2020.7233943568604
2,47,reversed,2.936160200152025,90.0,67.59487936017405,5.0,0.33450832285577414,2020.7233943568604
2,47,storage,2.936160200152025,90.0,67.59487936017405,5.0,0.33450832285577414,2020.7233943568604
2,48,matching,3.0171831012196666,111.0,146.933652449559,5.0,0.8031439467487721,1829.4809173917693
2,48,alternate,3.0171831012196666,118.0,146.933652449559,5.0,0.8031439467487721,1829.4809173917693
2,48,switching,3.0171831012196666,91.0,146.933652449559,5.0,0.8031439467487721,1829.4809173917693
2,48,reversed,3.0171831012196666,91.0,146.933652449559,5.0,0.8031439467487721,1829.4809173917693
2,48,storage,3.0171831012196666,89.0,146.933652449559,5.0,0.8031439467487721,1829.4809173917693
2,49,matching,4.438403375076543,110.0,51.57203233974004,5.0,0.9999318658674031,515.7554639485686
2,49,alternate,4.438403375076543,118.0,51.57203233974004,5.0,0.9999318658674031,515.7554639485686
2,49,switching,4.438403375076543,92.0,51.57203233974004,5.0,0.9999318658674031,515.7554639485686
2,49,reversed,4.438403375076543,91.0,51.57203233974004,5.0,0.9999318658674031,515.7554639485686
2,49,storage,4.438403375076543,89.0,51.57203233974004,5.0,0.9999318658674031,515.7554639485686
2,50,matching,2.8790748378452733,111.0,128.28823800017466,5.0,0.7180963712004258,1786.504474123968
2,50,alternate,2.8790748378452733,118.0,128.28823800017466,5.0,0.7180963712004258,1786.504474123968
2,50,switching,2.8790748378452733,93.0,128.28823800017466,5.0,0.7180963712004258,1786.504474123968
2,50,reversed,2.8790748378452733,91.0,128.28823800017466,5.0,0.7180963712004258,1786.504474123968
2,50,storage,2.8790748378452733,87.0,128.28823800017466,5.0,0.7180963712004258,1786.504474123968
2,51,matching,2.7813839306210966,108.0,56.581366499512164,5.0,0.9996143155021198,566.0319747530884
