i_simul,gen,strategy,n_ind,fitness_relative
1,89,storage,98.0,45.42809093173724
1,90,matching,2.0,7.4746121257629365
1,90,switching,0.0,0.0
1,90,storage,98.0,44.91057350229473
1,91,matching,1.0,6.941476326597412
1,91,switching,0.0,0.0
1,91,storage,99.0,45.20719002313168
1,92,matching,0.0,0.0
1,92,switching,0.0,0.0
1,92,storage,100.0,44.669849229304354
1,93,matching,1.0,6.899095072603774
1,93,switching,3.0,1.5869164190446892
1,93,storage,96.0,44.110376746941085
1,94,matching,0.0,0.0
1,94,switching,0.0,0.0
1,94,storage,100.0,45.728991055358655
1,95,matching,2.0,6.799697426594193
1,95,switching,1.0,5.003482961737467
1,95,storage,97.0,45.017235620677575
1,96,matching,0.0,0.0
1,96,switching,1.0,11.988830469367393
1,96,storage,99.0,45.3082816958232
1,97,matching,0.0,0.0
1,97,switching,0.0,0.0
1,97,storage,100.0,47.145151167046194
1,98,matching,0.0,0.0
1,98,switching,0.0,0.0
1,98,storage,100.0,45.3883344481611
1,99,matching,1.0,7.318556755346648
1,99,switching,3.0,10.716919331195706
1,99,storage,96.0,44.72316040765185
2,0,matching,34.0,19.59640711875126
2,0,switching,35.0,37.16250436893633
2,0,storage,31.0,44.95258685573006
2,1,matching,18.0,17.823466855767627
2,1,switching,39.0,31.95980133971597
2,1,storage,43.0,46.731325269003555
2,2,matching,7.0,12.099530221314884
2,2,switching,30.0,17.00981574239571
2,2,storage,63.0,45.22304350163572
2,3,matching,1.0,7.658751124115965
2,3,switching,13.0,6.245045273682972
2,3,storage,86.0,46.1880369442262
2,4,matching,0.0,0.0
2,4,switching,6.0,7.324713413655766
2,4,storage,94.0,44.528405550364056
2,5,matching,0.0,0.0
2,5,switching,2.0,5.526998064615592
2,5,storage,98.0,45.828585535281036
2,6,matching,0.0,0.0
2,6,switching,1.0,11.468952011416278
2,6,storage,99.0,45.738838483996425
2,7,matching,0.0,0.0
2,7,switching,1.0,6.7369633133900715
2,7,storage,99.0,45.924529972814376
2,8,matching,0.0,0.0
2,8,switching,0.0,0.0
2,8,storage,100.0,46.3939997271159
2,9,matching,0.0,0.0
2,9,switching,0.0,0.0
2,9,storage,100.0,44.606370374145484
2,10,matching,0.0,0.0
2,10,switching,1.0,10.08887236023924
2,10,storage,99.0,47.882289398502174
2,11,matching,0.0,0.0
2,11,switching,1.0,7.773222245798079
2,11,storage,99.0,44.33973285400633
2,12,matching,0.0,0.0
2,12,switching,1.0,14.591048749948687
2,12,storage,99.0,45.70970593833412
2,13,matching,0.0,0.0
2,13,switching,1.0,12.82628943281851
2,13,storage,99.0,45.172838516633675
2,14,matching,2.0,6.6426363661453935
2,14,switching,1.0,3.5685756607687944
2,14,storage,97.0,45.535849222335095
2,15,matching,1.0,7.689989641344057
2,15,switching,0.0,0.0
2,15,storage,99.0,45.88113165646312
2,16,matching,1.0,6.836421612285165
2,16,switching,0.0,0.0
2,16,storage,99.0,45.6099551967056
2,17,matching,1.0,6.639371475204966
2,17,switching,1.0,6.175121801202117
2,17,storage,98.0,43.73135768847853
2,18,matching,0.0,0.0
2,18,switching,0.0,0.0
2,18,storage,100.0,44.39662403927453
2,19,matching,0.0,0.0
2,19,switching,0.0,0.0
2,19,storage,100.0,47.3090165922776
2,20,matching,0.0,0.0
2,20,switching,2.0,9.2148481862103
2,20,storage,98.0,44.72568122820837
2,21,matching,0.0,0.0
2,21,switching,0.0,0.0
2,21,storage,100.0,44.401269078805925
2,22,matching,1.0,7.569891785649279
2,22,switching,1.0,12.423795862964777
2,22,storage,98.0,44.310142505279146
2,23,matching,0.0,0.0
2,23,switching,1.0,5.731197568140633
2,23,storage,99.0,48.214790965557114
2,24,matching,0.0,0.0
2,24,switching,1.0,1.5766581876091175
2,24,storage,99.0,44.679841433863785
2,25,matching,0.0,0.0
2,25,switching,0.0,0.0
2,25,storage,100.0,46.43286098587827
2,26,matching,3.0,7.137261634256704
2,26,switching,1.0,3.623801761396382
2,26,storage,96.0,45.04785144735993
2,27,matching,0.0,0.0
2,27,switching,0.0,0.0
2,27,storage,100.0,45.678342355114125
2,28,matching,2.0,7.780075297883668
2,28,switching,1.0,6.097641248509462
2,28,storage,97.0,47.550930859384906
2,29,matching,2.0,7.4845342631281575
2,29,switching,0.0,0.0
2,29,storage,98.0,46.22938835550201
2,30,matching,0.0,0.0
2,30,switching,0.0,0.0
2,30,storage,100.0,45.12318545393072
2,31,matching,0.0,0.0
2,31,switching,0.0,0.0
2,31,storage,100.0,45.61605717639757
2,32,matching,0.0,0.0
2,32,switching,0.0,0.0
2,32,storage,100.0,45.55449138170534
2,33,matching,1.0,7.703998722860619
2,33,switching,0.0,0.0
2,33,storage,99.0,45.86331261099599
2,34,matching,0.0,0.0
2,34,switching,1.0,6.735075355120085
2,34,storage,99.0,45.44523370847436
2,35,matching,2.0,8.378512685898878
2,35,switching,0.0,0.0
2,35,storage,98.0,47.926181245902725
2,36,matching,1.0,7.34091299416113
2,36,switching,2.0,4.914981007106423
2,36,storage,97.0,45.41099793786681
2,37,matching,0.0,0.0
2,37,switching,3.0,4.0133795918276265
2,37,storage,97.0,45.72360794737822
2,38,matching,0.0,0.0
2,38,switching,1.0,4.275859898973045
2,38,storage,99.0,44.654333110274855
2,39,matching,1.0,8.167222093283327
2,39,switching,0.0,0.0
2,39,storage,99.0,45.54730817467897
2,40,matching,1.0,6.825758029868511
2,40,switching,2.0,2.7886372918663076
2,40,storage,97.0,44.64753132589226
2,41,matching,0.0,0.0
2,41,switching,1.0,7.227538747513951
2,41,storage,99.0,51.379685629587364
2,42,matching,0.0,0.0
2,42,switching,0.0,0.0
2,42,storage,100.0,44.392042329891325
2,43,matching,0.0,0.0
2,43,switching,0.0,0.0
2,43,storage,100.0,44.163058747681006
2,44,matching,3.0,6.805728309102264
2,44,switching,2.0,5.743325077778122
2,44,storage,95.0,45.28364739418196
2,45,matching,0.0,0.0
