i_simul,year,strategy,resources,n_ind,n_predator,n_dead
5,5,matching,3.3896283880253053,109.0,112.66418368191967,1.0
5,5,alternate,3.3896283880253053,86.0,112.66418368191967,1.0
5,5,switching,3.3896283880253053,108.0,112.66418368191967,1.0
5,5,reversed,3.3896283880253053,107.0,112.66418368191967,1.0
5,5,storage,3.3896283880253053,90.0,112.66418368191967,1.0
5,6,matching,3.5249270503748957,109.0,170.06952003218134,1.0
5,6,alternate,3.5249270503748957,86.0,170.06952003218134,1.0
5,6,switching,3.5249270503748957,108.0,170.06952003218134,1.0
5,6,reversed,3.5249270503748957,107.0,170.06952003218134,1.0
5,6,storage,3.5249270503748957,90.0,170.06952003218134,1.0
5,7,matching,3.1873761987700706,110.0,278.7574600056959,1.0
5,7,alternate,3.1873761987700706,86.0,278.7574600056959,1.0
5,7,switching,3.1873761987700706,108.0,278.7574600056959,1.0
5,7,reversed,3.1873761987700706,106.0,278.7574600056959,1.0
5,7,storage,3.1873761987700706,90.0,278.7574600056959,1.0
5,8,matching,1.6618821226011502,110.0,327.6836731569914,1.0
5,8,alternate,1.6618821226011502,86.0,327.6836731569914,1.0
5,8,switching,1.6618821226011502,107.0,327.6836731569914,1.0
5,8,reversed,1.6618821226011502,106.0,327.6836731569914,1.0
5,8,storage,1.6618821226011502,91.0,327.6836731569914,1.0
5,9,matching,4.092780307025836,110.0,155.18826153880576,1.0
5,9,alternate,4.092780307025836,86.0,155.18826153880576,1.0
5,9,switching,4.092780307025836,106.0,155.18826153880576,1.0
5,9,reversed,4.092780307025836,107.0,155.18826153880576,1.0
5,9,storage,4.092780307025836,91.0,155.18826153880576,1.0
5,10,matching,3.9433050798604086,109.0,221.0541130502028,1.0
5,10,alternate,3.9433050798604086,87.0,221.0541130502028,1.0
5,10,switching,3.9433050798604086,106.0,221.0541130502028,1.0
5,10,reversed,3.9433050798604086,107.0,221.0541130502028,1.0
5,10,storage,3.9433050798604086,91.0,221.0541130502028,1.0
5,11,matching,2.932368403101572,108.0,600.3771697345663,1.0
5,11,alternate,2.932368403101572,87.0,600.3771697345663,1.0
5,11,switching,2.932368403101572,107.0,600.3771697345663,1.0
5,11,reversed,2.932368403101572,107.0,600.3771697345663,1.0
5,11,storage,2.932368403101572,91.0,600.3771697345663,1.0
5,12,matching,3.4607559746684506,108.0,326.47215533096806,1.0
5,12,alternate,3.4607559746684506,86.0,326.47215533096806,1.0
5,12,switching,3.4607559746684506,107.0,326.47215533096806,1.0
5,12,reversed,3.4607559746684506,107.0,326.47215533096806,1.0
5,12,storage,3.4607559746684506,92.0,326.47215533096806,1.0
5,13,matching,4.1203000703510275,108.0,127.80163588074745,1.0
5,13,alternate,4.1203000703510275,87.0,127.80163588074745,1.0
5,13,switching,4.1203000703510275,107.0,127.80163588074745,1.0
5,13,reversed,4.1203000703510275,107.0,127.80163588074745,1.0
5,13,storage,4.1203000703510275,91.0,127.80163588074745,1.0
5,14,matching,2.5228400469587138,108.0,675.0403611891961,1.0
5,14,alternate,2.5228400469587138,87.0,675.0403611891961,1.0
5,14,switching,2.5228400469587138,107.0,675.0403611891961,1.0
5,14,reversed,2.5228400469587138,107.0,675.0403611891961,1.0
5,14,storage,2.5228400469587138,91.0,675.0403611891961,1.0
5,15,matching,1.886269364558567,109.0,148.23488727799779,1.0
5,15,alternate,1.886269364558567,87.0,148.23488727799779,1.0
5,15,switching,1.886269364558567,106.0,148.23488727799779,1.0
5,15,reversed,1.886269364558567,107.0,148.23488727799779,1.0
5,15,storage,1.886269364558567,91.0,148.23488727799779,1.0
5,16,matching,4.3838808567112,109.0,334.9439629161309,1.0
